Portfolio,Weights,Volatility,Sharpe Ratio,AAPL,MSFT,GOOGL,AMZN,TSLA
Portfolio 86,"[0.9543153638714994, 2.881434595567304e-06, 0.040329897094463364, 6.3229771689614235e-06, 6.722009715053546e-06]",0.14444559152780828,0.07107937187924046,0.9543153638714994,2.881434595567304e-06,0.040329897094463364,6.3229771689614235e-06,6.722009715053546e-06
Portfolio 87,"[0.8985266004613148, 4.396802370860191e-05, 0.10980454998146118, 2.799358895344171e-05, 1.2015074160404535e-05]",0.14453936423175234,0.07116470739770583,0.8985266004613148,4.396802370860191e-05,0.10980454998146118,2.799358895344171e-05,1.2015074160404535e-05
Portfolio 88,"[0.8481113948308271, 2.868839090730934e-06, 0.12421313722331938, 5.19703800065917e-05, 1.4746123244731306e-05]",0.14456281443498936,0.07118594859491553,0.8481113948308271,2.868839090730934e-06,0.12421313722331938,5.19703800065917e-05,1.4746123244731306e-05
Portfolio 89,"[0.8668279560250529, 4.596021925647784e-07, 0.4363159571144808, 3.619779896730844e-05, 1.9659235313426875e-07]",0.14475319853270463,0.07135485216686115,0.8668279560250529,4.596021925647784e-07,0.4363159571144808,3.619779896730844e-05,1.9659235313426875e-07
Portfolio 90,"[0.9049908363749911, 1.3005899280469608e-05, 0.02484086010097134, 7.487058652904748e-05, 3.8877790841620774e-07]",0.14442512149009396,0.07106056786405784,0.9049908363749911,1.3005899280469608e-05,0.02484086010097134,7.487058652904748e-05,3.8877790841620774e-07
Portfolio 91,"[0.9789387494748981, 3.886465459457323e-06, 0.17834333131683577, 2.5497813587268756e-05, 2.651810143198429e-06]",0.14459386480777206,0.07121401176520263,0.9789387494748981,3.886465459457323e-06,0.17834333131683577,2.5497813587268756e-05,2.651810143198429e-06
Portfolio 92,"[0.8968536097558804, 0.00011647396631903917, 0.2507257732623287, 6.0777161088261245e-05, 1.1758923646670383e-06]",0.14466157766242957,0.07127453276324391,0.8968536097558804,0.00011647396631903917,0.2507257732623287,6.0777161088261245e-05,1.1758923646670383e-06
Portfolio 93,"[0.9308654884325036, 2.482513600976599e-07, 0.08969594823722787, 1.1389469110616088e-06, 3.2766254295390487e-06]",0.14451189086057503,0.07113983453216861,0.9308654884325036,2.482513600976599e-07,0.08969594823722787,1.1389469110616088e-06,3.2766254295390487e-06
Portfolio 94,"[0.9236785950949568, 5.51693813380095e-06, 0.2058597661411341, 3.4663404422780505e-05, 2.143024524816634e-06]",0.1446248837851843,0.07124187040988662,0.9236785950949568,5.51693813380095e-06,0.2058597661411341,3.4663404422780505e-05,2.143024524816634e-06
Portfolio 95,"[0.9295026267352328, 7.108838846749576e-07, 0.12601815304139863, 4.154932255038616e-06, 5.924421251714071e-06]",0.14455245504528055,0.07117663378140607,0.9295026267352328,7.108838846749576e-07,0.12601815304139863,4.154932255038616e-06,5.924421251714071e-06
Portfolio 96,"[0.6329878825731523, 2.211611200689148e-08, 0.13686999128721233, 1.2769667481879379e-07, 1.3226643329672905e-07]",0.14462007420497763,0.07123759355681576,0.6329878825731523,2.211611200689148e-08,0.13686999128721233,1.2769667481879379e-07,1.3226643329672905e-07
Portfolio 97,"[0.8894268634594509, 1.1096553887668199e-05, 0.1291263377464596, 2.136480640872366e-06, 3.2115077282676105e-06]",0.1445615586592767,0.07118486648959736,0.8894268634594509,1.1096553887668199e-05,0.1291263377464596,2.136480640872366e-06,3.2115077282676105e-06
Portfolio 98,"[0.618682977002715, 1.217941538881654e-07, 0.11804738450005163, 4.4987923268151535e-06, 3.16864268814523e-05]",0.14460083366907825,0.07122026525445671,0.618682977002715,1.217941538881654e-07,0.11804738450005163,4.4987923268151535e-06,3.16864268814523e-05
Portfolio 99,"[0.64346817293249, 3.2649032418588734e-05, 0.3834597163363305, 9.092435433156636e-06, 2.1014348559611129e-07]",0.1447750214683443,0.07137327370413804,0.64346817293249,3.2649032418588734e-05,0.3834597163363305,9.092435433156636e-06,2.1014348559611129e-07
Portfolio 100,"[0.9127989724674122, 2.6005175519593874e-06, 0.04382375846581524, 0.00028735011880574857, 1.5676396241943913e-07]",0.14445369725569504,0.07108650170747864,0.9127989724674122,2.6005175519593874e-06,0.04382375846581524,0.00028735011880574857,1.5676396241943913e-07
Portfolio 101,"[0.9863928870724593, 5.681027090832967e-05, 0.6778148937118882, 1.1737420631984023e-07, 1.072881463473589e-06]",0.1447906176744737,0.07138606894317967,0.9863928870724593,5.681027090832967e-05,0.6778148937118882,1.1737420631984023e-07,1.072881463473589e-06
