Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2013-01-02,16.68734359741211,12.865500450134277,18.054641723632812,22.40696144104004,2.357332944869995
2013-01-03,16.476703643798828,12.923999786376953,18.065126419067383,22.10679817199707,2.318000078201294
2013-01-04,16.017763137817383,12.957500457763672,18.422101974487305,21.69306182861328,2.293333053588867
2013-01-07,15.923527717590332,13.42300033569336,18.341720581054688,21.65249252319336,2.2893331050872803
2013-01-08,15.966394424438477,13.319000244140625,18.305524826049805,21.538911819458008,2.245332956314087
2013-01-09,15.716852188110352,13.317500114440918,18.425846099853516,21.660608291625977,2.2426669597625732
2013-01-10,15.9116792678833,13.267000198364258,18.509723663330078,21.465898513793945,2.23533296585083
2013-01-11,15.814119338989258,13.397000312805176,18.4725284576416,21.766067504882812,2.194000005722046
2013-01-14,15.250295639038086,13.636500358581543,18.054641723632812,21.81474494934082,2.2173330783843994
2013-01-15,14.769169807434082,13.595000267028809,18.096580505371094,22.0743465423584,2.259999990463257
2013-01-16,15.382217407226562,13.446499824523926,17.853439331054688,21.936437606811523,2.2733330726623535
2013-01-17,15.278570175170898,13.52400016784668,17.756832122802734,22.10679817199707,2.2920000553131104
2013-01-18,15.197112083435059,13.605999946594238,17.586833953857422,22.10679817199707,2.301332950592041
2013-01-22,15.342092514038086,13.509499549865723,17.54589080810547,22.025672912597656,2.3459999561309814
2013-01-23,15.622932434082031,13.405500411987305,18.51021957397461,22.398849487304688,2.4000000953674316
2013-01-24,13.69260025024414,13.67300033569336,18.827505111694336,22.415071487426758,2.4660000801086426
2013-01-25,13.369812965393066,14.19950008392334,18.814023971557617,22.617891311645508,2.4653329849243164
2013-01-28,13.672233581542969,13.802000045776367,18.740631103515625,22.64223289489746,2.5353329181671143
2013-01-29,13.928760528564453,13.017499923706055,18.814273834228516,22.723350524902344,2.5299999713897705
2013-01-30,13.884993553161621,13.637999534606934,18.818017959594727,22.593549728393555,2.501332998275757
2013-01-31,13.844264030456543,13.274999618530273,18.864450454711914,22.269044876098633,2.500667095184326
2013-02-01,13.787430763244629,13.25,19.361465454101562,22.658445358276367,2.553333044052124
2013-02-04,13.44397258758545,12.99899959564209,18.94757652282715,22.260936737060547,2.5160000324249268
2013-02-05,13.915695190429688,13.344499588012695,19.11532974243164,22.309608459472656,2.5420000553131104
2013-02-06,13.900800704956055,13.111000061035156,19.225915908813477,22.179807662963867,2.611332893371582
2013-02-07,14.314122200012207,13.011500358581543,19.32027816772461,22.131134033203125,2.631999969482422
2013-02-08,14.52078628540039,13.09749984741211,19.605356216430664,22.350175857543945,2.615999937057495
2013-02-11,14.672113418579102,12.86050033569336,19.53171730041504,22.601667404174805,2.561332941055298
2013-02-12,14.304339408874512,12.9350004196167,19.488780975341797,22.617891311645508,2.5260000228881836
2013-02-13,14.277130126953125,13.47350025177002,19.542699813842773,22.73957633972168,2.563333034515381
2013-02-14,14.264293670654297,13.461999893188477,19.666519165039062,22.747692108154297,2.551332950592041
2013-02-15,14.067718505859375,13.254500389099121,19.793081283569336,22.723350524902344,2.4693329334259033
