Date,Markowitz,Optimized
2020-09-11,,
2020-09-14,1.0331540503907897,1.0159019641102074
2020-09-15,1.0628963104697913,1.0295421013692467
2020-09-16,1.0403207137001473,0.9991137410635506
2020-09-17,1.016718382862045,0.9771176685654016
2020-09-18,1.014343451418657,0.9404677030756481
2020-09-21,1.0249189553167224,0.9490009256175899
2020-09-22,1.0414185727826617,0.972578793325357
2020-09-23,0.9856536808137943,0.9225507896927151
2020-09-24,0.9975240641458246,0.934892232594526
2020-09-25,1.0287947135372406,0.9648905522696556
2020-09-28,1.0511629549006891,0.988977674845475
2020-09-29,1.042267692019455,0.9877559787697158
2020-09-30,1.0548366127896707,0.9970664355052258
2020-10-01,1.0790269228762086,1.0132790357483799
2020-10-02,1.0353498285414935,0.9766929024473125
2020-10-05,1.059809956734258,1.008937624149417
2020-10-06,1.0313468655913964,0.9750197325074942
2020-10-07,1.0572801291965956,0.9894806506831204
2020-10-08,1.0581667286530927,1.0006262098097685
2020-10-09,1.084361016679488,1.024747528501841
2020-10-12,1.1223724715143832,1.0925307134770648
2020-10-13,1.1251331274414467,1.0752529640763324
2020-10-14,1.121376806531023,1.0739856713522384
2020-10-15,1.1088194235519742,1.0673626279635366
2020-10-16,1.0942336521249916,1.0638023854341436
2020-10-19,1.0701683192826257,1.0281719612950833
2020-10-20,1.0678535022549906,1.0469657329223274
2020-10-21,1.0642143190160716,1.0601314770438144
2020-10-22,1.0644263566803218,1.0634973618785881
2020-10-23,1.0663374768995262,1.071758375975344
2020-10-26,1.056731836074441,1.049022489084447
2020-10-27,1.0750506918361924,1.0649425923090348
2020-10-28,1.0281392210691007,0.9915879676762603
2020-10-29,1.0430324812942895,1.0366304934989046
2020-10-30,1.0003766175583244,1.0276658062642894
2020-11-02,1.0040269096687011,1.0308466860473298
2020-11-03,1.031117638846509,1.0506181027645332
2020-11-04,1.0722185605170573,1.12365388954961
2020-11-05,1.1062725927831984,1.156775513751233
2020-11-06,1.100649834307867,1.1546391118622121
2020-11-09,1.065058153926567,1.14070008728958
2020-11-10,1.0333608985110458,1.127557633392932
2020-11-11,1.0611978292037025,1.153822958846405
2020-11-12,1.0526716349461536,1.1500180012596295
2020-11-13,1.0546492243148609,1.1641837234069405
2020-11-16,1.0565159174877623,1.1714983743989924
2020-11-17,1.0729361117229659,1.1600107380604403
2020-11-18,1.0899376667092875,1.1416960761535104
2020-11-19,1.1008445692241586,1.1538544291750448
2020-11-20,1.0891715915062006,1.1353920064738363
2020-11-23,1.1032267563341198,1.1097065769986851
2020-11-24,1.1300643003500235,1.134576931033776
2020-11-25,1.148601175321919,1.1400953345793272
2020-11-27,1.1583564275786296,1.1541625534454045
2020-11-30,1.1460920104125947,1.1546898928864775
2020-12-01,1.1676474565522585,1.196659229884025
2020-12-02,1.156664571719988,1.2129794336897772
2020-12-03,1.164397675226352,1.2106140662841929
2020-12-04,1.1635677271168448,1.2071833723232943
2020-12-07,1.1838516007312567,1.213467505809786
2020-12-08,1.1935731763665953,1.214698554965359
2020-12-09,1.1542504107810312,1.1824665518615771
2020-12-10,1.163079515743364,1.1866782790038488
2020-12-11,1.1617424345142617,1.1849972259164427
2020-12-14,1.1819987634427918,1.1703667846674357
2020-12-15,1.1847157395800516,1.2120175617823918
2020-12-16,1.1993498152847533,1.209685099320973
2020-12-17,1.2148944038951017,1.2068748198419632
2020-12-18,1.2246009902889021,1.1875862729307558
2020-12-21,1.2145323171649334,1.201082399697004
2020-12-22,1.2153903208778616,1.2158385300655856
2020-12-23,1.2093026148585138,1.2144584455861793
2020-12-24,1.2184292557045915,1.2234140895540884
2020-12-28,1.2420124644663724,1.271395186039557
2020-12-29,1.2455096274933486,1.252300138678052
2020-12-30,1.248288415530243,1.2345472774516446
2020-12-31,1.249589222772736,1.2367856563916484
2021-01-04,1.2391336297945728,1.203910861618
2021-01-05,1.2473729326802097,1.2203449727223448
2021-01-06,1.230980247988465,1.1855134005993038
2021-01-07,1.2723195682074513,1.2366138132760474
2021-01-08,1.3025661647546336,1.2551104358806517
2021-01-11,1.2615882783142736,1.2157828314742274
2021-01-12,1.271921846439246,1.205386259081737
2021-01-13,1.2846359450804874,1.2227410667699052
2021-01-14,1.2677682896266056,1.2027732338395472
2021-01-15,1.2555180481527166,1.190587794499132
2021-01-19,1.272335524742889,1.222662321711401
2021-01-20,1.3136382600518997,1.295050284912991
2021-01-21,1.322924703922634,1.3273817475271574
2021-01-22,1.3249280915811228,1.345236846071441
2021-01-25,1.3476093790451362,1.369898484063078
2021-01-26,1.358643427713015,1.3784203423761832
2021-01-27,1.3381036153651007,1.3257815807895346
2021-01-28,1.335614452507261,1.3139658764742628
2021-01-29,1.2984618032959694,1.2694875111982424
2021-02-01,1.3520923914102803,1.3154494410074675
2021-02-02,1.3706659638450636,1.3336873334555492
2021-02-03,1.3595283401126688,1.396341681832418
2021-02-04,1.3614519018682547,1.416777381102372
2021-02-05,1.3654460219372035,1.431296378338309
2021-02-08,1.3660509098402769,1.4301918905430333
2021-02-09,1.359732702224802,1.4197177147821738
2021-02-10,1.3376798729566428,1.4209948470355336
2021-02-11,1.339555976432612,1.4203540250693985
2021-02-12,1.3446966776492457,1.4250119773634302
2021-02-16,1.331567448580035,1.417955795614718
2021-02-17,1.3381960270675617,1.4057704579851673
2021-02-18,1.3351016192053111,1.3919520989059482
2021-02-19,1.316459218894438,1.3850319171862844
2021-02-22,1.2649644857276965,1.3423244787697552
2021-02-23,1.2580414829799171,1.344103431343401
2021-02-24,1.2735120027402265,1.3516491601340228
2021-02-25,1.2208470125389042,1.2902170649355313
2021-02-26,1.2291298223113223,1.2947777638421745
2021-03-01,1.2684250629613516,1.3611304243957774
2021-03-02,1.2400192916224024,1.340532906361757
2021-03-03,1.1995602706855453,1.2950075215296766
2021-03-04,1.178729718969449,1.2922694501059342
2021-03-05,1.1804290892952605,1.3297503927735705
2021-03-08,1.1462530274057086,1.2538365753051732
2021-03-09,1.2297653801503934,1.3010362344722652
2021-03-10,1.2234155475801582,1.291521098173498
2021-03-11,1.2548803452168236,1.3342522828751724
2021-03-12,1.2457552050568557,1.3048529931432016
2021-03-15,1.251537284106001,1.3272540003372362
2021-03-16,1.246073201269142,1.3516297974186173
2021-03-17,1.2617058821338705,1.345288379394975
2021-03-18,1.210936824244362,1.28809225610476
2021-03-19,1.2174345534279498,1.2869614037706618
2021-03-22,1.2415756430439921,1.3119459942786942
2021-03-23,1.2439407347516702,1.311076670465845
2021-03-24,1.2168443713602664,1.2902997671690257
2021-03-25,1.2109484766767578,1.293699022684399
2021-03-26,1.2093521374667051,1.2944382218891721
2021-03-29,1.2073772551376698,1.3052705544117595
2021-03-30,1.2092592291966258,1.2953454895628917
2021-03-31,1.2378760381456748,1.3181206039009572
2021-04-01,1.256549220183634,1.354643107891651
2021-04-05,1.292818308487222,1.4155081923202006
2021-04-06,1.2908905412370457,1.4133206746107891
2021-04-07,1.2944521591989115,1.4389957304477292
2021-04-08,1.3107416058591033,1.461902281582825
2021-04-09,1.3244869168293079,1.4901941174505577
